case_type,domain,sub_category,category,required_documents,optional_documents,time_validity,submission_deadline,format_requirements,number_of_copies,stamp_duty_required,notarization_required
NI Act / Cheque Bounce,Criminal Law,IPC-Cheating,Financial,"Cheque copy; Bank statement showing dishonor; Demand notice copy; Postal receipt of notice; Complaint affidavit; Power of Attorney; Return memo from bank","Financial records; Account statement; Transaction history; Communication records; Previous correspondence",3 months from dishonor,30 days from notice receipt,"A4 size; Black ink; Clear photocopies; Original cheque",3,Yes,Yes
NI Act / Cheque Bounce,Criminal Law,IPC-Criminal Breach of Trust,Financial,"Cheque copy; Bank statement showing dishonor; Demand notice copy; Postal receipt of notice; Complaint affidavit; Power of Attorney; Return memo from bank","Financial records; Account statement; Transaction history; Communication records; Previous correspondence",3 months from dishonor,30 days from notice receipt,"A4 size; Black ink; Clear photocopies; Original cheque",3,Yes,Yes
Civil Suits,Civil Law,Contract-Breach,Civil,"Plaint/Petition; Written Statement; Affidavit; Contract copy; Evidence documents; Witness list; Power of Attorney; Legal notice copy; Court fee receipts","Supporting affidavits; Legal notices; Court fee receipt; Previous orders; Correspondence",12 months,As per court notice,"A4 size; Bound with index; Numbered pages; Clear copies",3,Yes,Yes
Civil Suits,Civil Law,Property-Title,Civil,"Plaint/Petition; Written Statement; Affidavit; Evidence documents; Property documents; Witness list; Power of Attorney; Court fee receipts; Title documents","Supporting affidavits; Legal notices; Court fee receipt; Previous orders; Property records",12 months,As per court notice,"A4 size; Bound with index; Numbered pages; Clear copies",3,Yes,Yes
Civil Suits,Civil Law,Torts-Motor Accident,Civil,"FIR copy; Medical reports; Discharge summary; Treatment bills; Disability certificate; Income proof; Driving license; Registration certificate; Insurance policy","Police report; Sketch; Witness statements; Photos; Salary slips; Tax returns",6 months from accident,At claim filing,"A4 size; Medical reports on letterhead; Bills original; Photos",3,Yes,Yes
Writ Petitions,Constitutional Law,Writ-Mandamus,Constitutional,"Writ petition; Affidavit; Supporting documents; Government orders; Constitutional provisions; Case law; Annexures; Grounds; Interim relief","Legal research; Precedents; Expert opinions; Parliamentary records; Constitutional texts",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations; Section numbers",5,No,Yes
Writ Petitions,Constitutional Law,Writ-Prohibition,Constitutional,"Writ Petition; Affidavit; Annexures; Grounds of challenge; Certified copies of orders; Interim relief application; Government orders","FIR copy; Government orders; Communication records; Media reports; Legal research",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations",5,No,Yes
Writ Petitions,Constitutional Law,Writ-Habeas Corpus,Constitutional,"Writ petition; Affidavit; Supporting documents; Government orders; Constitutional provisions; Case law; Annexures; Grounds; Interim relief","Legal research; Precedents; Expert opinions; Parliamentary records",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations",5,No,Yes
Writ Petitions,Constitutional Law,Writ-Certiorari,Constitutional,"Writ Petition; Affidavit; Annexures; Grounds of challenge; Certified copies of orders; Interim relief application; Government orders","FIR copy; Government orders; Communication records; Media reports",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations",5,No,Yes
Writ Petitions,Constitutional Law,Writ-Quo Warranto,Constitutional,"Writ Petition; Affidavit; Annexures; Grounds of challenge; Certified copies of orders; Interim relief application; Government orders; Public documents","FIR copy; Government orders; Communication records; Media reports",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations",5,No,Yes
Bail Applications,Criminal Law,IPC-Murder,Criminal,"Bail application; FIR copy; Charge sheet; Medical report; Affidavit; Surety documents; Address proof; Character certificate","Previous bail orders; Witness list; Property documents; Bank statements",Case pending,At time of arrest,"A4 size; Clear copies; Original documents; Photographs",2,No,Yes
Bail Applications,Criminal Law,IPC-Assault,Criminal,"Bail application; FIR copy; Charge sheet; Medical report; Affidavit; Surety documents; Address proof; Character certificate","Previous bail orders; Witness list; Property documents",Case pending,At time of arrest,"A4 size; Clear copies; Original documents",2,No,Yes
Bail Applications,Criminal Law,IPC-Hurt,Criminal,"Bail application; FIR copy; Charge sheet; Medical report; Affidavit; Surety documents; Address proof; Character certificate","Previous bail orders; Witness list; Property documents",Case pending,At time of arrest,"A4 size; Clear copies; Original documents",2,No,Yes
Motor Accident Claims,Civil Law,Torts-Motor Accident,Accident,"FIR copy; Medical reports; Discharge summary; Treatment bills; Disability certificate; Income proof; Driving license; Registration certificate; Insurance policy; Salary slips","Police report; Sketch; Witness statements; Photos; Salary slips; Tax returns",6 months from accident,At claim filing,"A4 size; Medical reports on letterhead; Bills original; Photos",3,Yes,Yes
Criminal Appeals,Criminal Law,IPC-Murder,Criminal,"Appeal petition; Grounds of appeal; Certified copy of judgment; Trial court records; Evidence copies; Grounds for appeal; Affidavit; Section-wise index","FIR copy; Witness statements; Expert reports; Communication; Previous orders",30 days from judgment,Within 30 days,"A4 size; Bound; Indexed; Section numbers; Clear copies",4,No,Yes
Criminal Appeals,Criminal Law,IPC-Cheating,Criminal,"Appeal petition; Grounds of appeal; Certified copy of judgment; Trial court records; Evidence copies; Grounds for appeal; Affidavit; Section-wise index","FIR copy; Witness statements; Expert reports; Communication; Previous orders",30 days from judgment,Within 30 days,"A4 size; Bound; Indexed; Section numbers; Clear copies",4,No,Yes
Criminal Appeals,Criminal Law,IPC-Hurt,Criminal,"Appeal petition; Grounds of appeal; Certified copy of judgment; Trial court records; Evidence copies; Grounds for appeal; Affidavit; Section-wise index","FIR copy; Witness statements; Expert reports; Communication; Previous orders",30 days from judgment,Within 30 days,"A4 size; Bound; Indexed; Section numbers; Clear copies",4,No,Yes
Family Disputes,Family Law,Divorce-Mutual Consent,Family,"Marriage certificate; Matrimonial petition; Affidavit; Income proof; Property documents; Child birth certificates; School records; Custody affidavit; Maintenance documents; Photographs","Photographs; Communication records; Joint bank statements; Medical reports; Family tree",12 months,At filing,"A4 size; Original marriage certificate; Photos; Medical records",3,Yes,Yes
Family Disputes,Family Law,Divorce-Contested,Family,"Marriage certificate; Matrimonial petition; Affidavit; Income proof; Property documents; Child birth certificates; School records; Custody affidavit; Maintenance documents; Photographs","Photographs; Communication records; Joint bank statements; Medical reports; Family tree",12 months,At filing,"A4 size; Original marriage certificate; Photos; Medical records",3,Yes,Yes
Family Disputes,Family Law,Child Custody-Physical,Family,"Marriage certificate; Birth certificates of children; Custody petition; Affidavit; Income proof; School records; Medical records; Communication records; Photographs","Photographs; Joint bank statements; Medical reports; School reports",12 months,At filing,"A4 size; Original documents; Photos; Medical records",3,Yes,Yes
Family Disputes,Family Law,Child Custody-Legal,Family,"Marriage certificate; Birth certificates of children; Custody petition; Affidavit; Income proof; School records; Medical records; Communication records; Photographs","Photographs; Joint bank statements; Medical reports; School reports",12 months,At filing,"A4 size; Original documents; Photos; Medical records",3,Yes,Yes
Family Disputes,Family Law,Maintenance-Spousal,Family,"Marriage certificate; Matrimonial petition; Affidavit; Income proof; Property documents; Custody affidavit; Child birth certificates; School records; Joint bank statements; Photographs","Photographs; Communication records; Joint bank statements; Medical reports",12 months,At filing,"A4 size; Original marriage certificate; Photos; Medical records",3,Yes,Yes
Family Disputes,Family Law,Domestic Violence-Physical,Family,"Marriage certificate; Matrimonial petition; Affidavit; Medical reports; FIR copy; Photographs; Communication records; Protection order application; DV complaint","Photographs; Communication records; Joint bank statements; Medical reports",12 months,At filing,"A4 size; Original marriage certificate; Photos; Medical records",3,Yes,Yes
Family Disputes,Family Law,Inheritance-Intestate,Family,"Death certificate; Legal heir certificate; Succession certificate; Property documents; Affidavit; Family tree; No objection certificate; Bank statements; Tax receipts","Old tax receipts; Lease agreements; Utility bills; Photographs; Survey records",12 years,At filing,"A4 size; Original documents; Revenue stamps; Family tree",3,Yes,Yes
Property Disputes,Property Law,Land-Boundary,Property,"Sale deed; Title deed; Encumbrance certificate; Property tax receipts; Possession proof; Survey map; Boundary documents; Mutation extract; Notice of demand; Revenue records","Old tax receipts; Lease agreements; Utility bills; Photographs; Survey records; Maps",12 years,At filing,"A3/A4 size; Revenue stamps; Clear photocopies; Maps",3,Yes,Yes
Property Disputes,Property Law,Land-Encroachment,Property,"Sale deed; Title deed; Encumbrance certificate; Property tax receipts; Possession proof; Survey map; Boundary documents; Mutation extract; Notice of demand; Revenue records","Old tax receipts; Lease agreements; Utility bills; Photographs; Survey records; Maps",12 years,At filing,"A3/A4 size; Revenue stamps; Clear photocopies; Maps",3,Yes,Yes
Property Disputes,Property Law,Building-Construction,Property,"Sale deed; Title deed; Encumbrance certificate; Property tax receipts; Possession proof; Survey map; Boundary documents; Mutation extract; Building plan; NOC; Construction documents","Old tax receipts; Lease agreements; Utility bills; Photographs; Survey records; Maps",12 years,At filing,"A3/A4 size; Revenue stamps; Clear photocopies; Maps",3,Yes,Yes
Property Disputes,Property Law,Land-Title,Property,"Sale deed; Title deed; Encumbrance certificate; Property tax receipts; Possession proof; Survey map; Boundary documents; Mutation extract; Title search report; Revenue records","Old tax receipts; Lease agreements; Utility bills; Photographs; Survey records; Maps",12 years,At filing,"A3/A4 size; Revenue stamps; Clear photocopies; Maps",3,Yes,Yes
Property Disputes,Property Law,Housing-Society,Property,"Sale deed; Title deed; Encumbrance certificate; Property tax receipts; Possession proof; Society membership; Share certificate; Maintenance records; NOC; Society documents","Old tax receipts; Lease agreements; Utility bills; Photographs; Survey records; Society minutes",12 years,At filing,"A3/A4 size; Revenue stamps; Clear photocopies; Society documents",3,Yes,Yes
Property Disputes,Property Law,Lease-Commercial,Property,"Lease agreement; Rent receipts; Property documents; ID proof; Address proof; NOC; Registration certificate; Stamp paper; Affidavit","Bank statements; Previous lease copy; Utility bills; Photos of property",12 months,At filing,"A4 size; Original documents; Stamp paper; Notarized copies",3,Yes,Yes
Property Disputes,Property Law,Mortgage-Dispute,Property,"Mortgage deed; Loan agreement; Property documents; Title deed; Encumbrance certificate; Default notice; Account statements; Recovery demand letter; Property valuation","Financial statements; Income proof; Tax returns; Security documents; Property papers",12 years,At filing,"A4 size; Original mortgage documents; Stamp paper; Clear copies",3,Yes,Yes
Consumer Protection,Consumer Law,Products-Electronic,Consumer,"Complaint petition; Invoice/Receipt; Warranty card; Evidence of defect; Expert report; Affidavit; Communication records; Product photos; Purchase details","Product photos; Correspondence; Lawyer's notice; Test reports; Bills",2 years from cause,At filing,"A4 size; Product photos; Original bills; Clear copies",3,Yes,Yes
Consumer Protection,Consumer Law,Products-Vehicles,Consumer,"Complaint petition; Invoice/Receipt; Warranty card; Evidence of defect; Expert report; Affidavit; Communication records; Product photos; Service records","Product photos; Correspondence; Lawyer's notice; Test reports; Bills",2 years from cause,At filing,"A4 size; Product photos; Original bills; Clear copies",3,Yes,Yes
Consumer Protection,Consumer Law,Services-Health,Consumer,"Complaint petition; Invoice/Receipt; Warranty card; Evidence of defect; Expert report; Affidavit; Communication records; Medical records; Treatment history","Product photos; Correspondence; Lawyer's notice; Test reports; Medical bills",2 years from cause,At filing,"A4 size; Product photos; Original bills; Medical records",3,Yes,Yes
Consumer Protection,Consumer Law,Services-Travel,Consumer,"Complaint petition; Invoice/Receipt; Warranty card; Evidence of defect; Expert report; Affidavit; Communication records; Travel itinerary; Booking confirmation","Product photos; Correspondence; Lawyer's notice; Test reports; Travel documents",2 years from cause,At filing,"A4 size; Product photos; Original bills; Travel documents",3,Yes,Yes
Consumer Protection,Consumer Law,Practices-E-commerce,Consumer,"Complaint petition; Invoice/Receipt; Warranty card; Evidence of defect; Expert report; Affidavit; Communication records; Screenshots; Order details; Payment proof","Product photos; Correspondence; Lawyer's notice; Test reports; Screenshots",2 years from cause,At filing,"A4 size; Product photos; Original bills; Screenshots",3,Yes,Yes
Consumer Protection,Consumer Law,Practices-Misleading Ads,Consumer,"Complaint petition; Invoice/Receipt; Warranty card; Evidence of defect; Expert report; Affidavit; Communication records; Advertisement copy; Product details","Product photos; Correspondence; Lawyer's notice; Test reports; Advertisements",2 years from cause,At filing,"A4 size; Product photos; Original bills; Advertisement copies",3,Yes,Yes
Labour & Employment Disputes,Labour Law,Industrial-Layoff,Employment,"Appointment letter; Termination order; Payslips; Show cause notice; Domestic inquiry report; Charge sheet; Written statement; Demand notice; Union representation; Attendance records","Attendance records; Performance reviews; Medical records; Leave records; Communication",6 months from termination,At filing,"A4 size; Official correspondence; Appointment letter; Records",3,Yes,No
Labour & Employment Disputes,Labour Law,Wages-Minimum,Employment,"Appointment letter; Payslips; Wage agreement; Demand notice; Written statement; Attendance records; Union representation; Wage records","Attendance records; Performance reviews; Medical records; Leave records; Wage slips",6 months,At filing,"A4 size; Official correspondence; Appointment letter; Records",3,Yes,No
