cnr,courtName,stateName,caseType,case_type_name,filing_date,decision_date,duration_days,duration_days_capped,duration_days_log,tier,filing_month,filing_day,filing_dayofweek,is_old_case,is_very_old_case
BRPU010049462024,"PDJ DIVISION, PURNEA",Bihar,BA,Bail Application,2024-07-20,2024-09-04,46,46.0,3.8501476017100584,district,7,20,5,0,0
BRPU010049582024,"PDJ DIVISION, PURNEA",Bihar,BA,Bail Application,2024-07-20,2024-08-03,14,14.0,2.70805020110221,district,7,20,5,0,0
APHC010004992024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-01-04,2024-01-09,5,5.0,1.791759469228055,hc,1,4,3,0,0
APHC010005102015,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2015-06-29,2024-01-09,3116,3116.0,8.044626279767337,hc,6,29,0,1,1
APHC010011742024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-01-08,2024-01-10,2,2.0,1.0986122886681096,hc,1,8,0,0,0
APHC010004992021,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2021-01-05,2024-10-24,1388,1388.0,7.236339342754344,hc,1,5,1,1,0
APHC010215922022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-04-28,2024-02-01,644,644.0,6.4692503167957724,hc,4,28,3,1,0
APHC010248442024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-06-18,2024-06-20,2,2.0,1.0986122886681096,hc,6,18,1,0,0
APHC010215912024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-05-03,2024-05-07,4,4.0,1.6094379124341003,hc,5,3,4,0,0
APHC010228872010,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2010-12-16,2024-08-02,4978,4978.0,8.512984346642183,hc,12,16,3,1,1
APHC010248432024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-06-18,2024-06-21,3,3.0,1.3862943611198906,hc,6,18,1,0,0
APHC010215922024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-05-03,2024-07-16,74,74.0,4.31748811353631,hc,5,3,4,0,0
APHC010058282015,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2015-12-22,2024-07-23,3136,3136.0,8.051022208190679,hc,12,22,1,1,1
APHC010086262024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-20,2024-02-29,9,9.0,2.302585092994046,hc,2,20,1,0,0
APHC010092222024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-22,2024-02-27,5,5.0,1.791759469228055,hc,2,22,3,0,0
APHC010092212023,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2023-02-23,2024-06-19,482,482.0,6.180016653652572,hc,2,23,3,1,0
APHC010254132006,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2006-11-24,2024-10-26,6546,6546.0,8.786762208441091,hc,11,24,4,1,1
APHC010266772024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-06-25,2024-06-28,3,3.0,1.3862943611198906,hc,6,25,1,0,0
APHC010092232024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-22,2024-11-14,266,266.0,5.58724865840025,hc,2,22,3,0,0
APHC010083562016,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2015-12-21,2024-11-06,3243,3243.0,8.084562415235304,hc,12,21,0,1,1
APHC010086252021,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2021-02-26,2024-11-15,1358,1358.0,7.214504414151143,hc,2,26,4,1,0
APHC010092212024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-22,2024-11-14,266,266.0,5.58724865840025,hc,2,22,3,0,0
APHC010066092020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-02-14,2024-12-20,1771,1771.0,7.4798641311650265,hc,2,14,4,1,0
APHC010066092020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-02-14,2024-12-20,1771,1771.0,7.4798641311650265,hc,2,14,4,1,0
APHC010066092015,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2015-01-28,2024-07-10,3451,3451.0,8.146709052203319,hc,1,28,2,1,1
APHC010069862024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-12,2024-03-18,35,35.0,3.58351893845611,hc,2,12,0,0,0
APHC010072572024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-13,2024-03-06,22,22.0,3.1354942159291497,hc,2,13,1,0,0
APHC010072572020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-02-18,2024-12-20,1767,1767.0,7.477604243197589,hc,2,18,1,1,0
APHC010072572020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-02-18,2024-12-20,1767,1767.0,7.477604243197589,hc,2,18,1,1,0
APHC010096662018,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2018-02-08,2024-01-04,2156,2156.0,7.676473646389156,hc,2,8,3,1,1
APHC010096662024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-26,2024-03-01,4,4.0,1.6094379124341003,hc,2,26,0,0,0
APHC010084752024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-19,2024-11-19,274,274.0,5.616771097666572,hc,2,19,0,0,0
APHC010353942024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-08-13,2024-09-17,35,35.0,3.58351893845611,hc,8,13,1,0,0
APHC010125132022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-21,2024-02-12,693,693.0,6.542471960506805,hc,3,21,0,1,0
APHC010118592021,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2021-03-19,2024-09-26,1287,1287.0,7.160845906664299,hc,3,19,4,1,0
APHC010331222024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-07-31,2024-08-06,6,6.0,1.9459101490553132,hc,7,31,2,0,0
APHC010333402024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-08-01,2024-11-11,102,102.0,4.634728988229636,hc,8,1,3,0,0
APHC010104762017,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2017-06-08,2024-02-07,2435,2435.0,7.798112628829788,hc,6,8,3,1,1
APHC010109482017,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2017-09-06,2024-04-16,2414,2414.0,7.789454566086673,hc,9,6,2,1,1
APHC010104772024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-28,2024-05-07,69,69.0,4.248495242049359,hc,2,28,2,0,0
APHC010109482024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-01,2024-03-21,20,20.0,3.044522437723423,hc,3,1,4,0,0
APHC010101702024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-02-27,2024-03-04,6,6.0,1.9459101490553132,hc,2,27,1,0,0
APHC010101702021,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2021-03-08,2024-02-28,1087,1087.0,6.992096427415888,hc,3,8,0,1,0
APHC010125252024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-11,2024-08-23,165,165.0,5.111987788356544,hc,3,11,0,0,0
APHC010362552019,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2019-11-01,2024-06-20,1693,1693.0,7.434847875211999,hc,11,1,4,1,1
APHC010362542024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-08-19,2024-10-23,65,65.0,4.189654742026425,hc,8,19,0,0,0
APHC010101822022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-07,2024-02-02,697,697.0,6.548219102762372,hc,3,7,0,1,0
APHC010109512024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-01,2024-03-21,20,20.0,3.044522437723423,hc,3,1,4,0,0
APHC010103272020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-03-04,2024-10-29,1700,1700.0,7.438971592395862,hc,3,4,2,1,0
APHC010103272020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-03-04,2024-10-29,1700,1700.0,7.438971592395862,hc,3,4,2,1,0
APHC010118732024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-06,2024-03-11,5,5.0,1.791759469228055,hc,3,6,2,0,0
APHC010112532024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-04,2024-03-06,2,2.0,1.0986122886681096,hc,3,4,0,0,0
APHC010118712022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-15,2024-02-13,700,700.0,6.55250788703459,hc,3,15,1,1,0
APHC010118722022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-15,2024-02-12,699,699.0,6.551080335043404,hc,3,15,1,1,0
APHC010118732016,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2016-06-03,2024-03-13,2840,2840.0,7.951911381854188,hc,6,3,4,1,1
APHC010128552022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-22,2024-08-23,885,885.0,6.786716950605081,hc,3,22,1,1,0
APHC010135002024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-15,2024-04-19,35,35.0,3.58351893845611,hc,3,15,4,0,0
APHC010133452022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-03-23,2024-07-23,853,853.0,6.74993119378857,hc,3,23,2,1,0
APHC010133472021,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2021-03-30,2024-09-19,1269,1269.0,7.146772179452637,hc,3,30,1,1,0
APHC010373852022,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2022-07-26,2024-01-24,547,547.0,6.306275286948016,hc,7,26,1,1,0
APHC010144902017,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2017-03-27,2024-08-13,2696,2696.0,7.89989532313973,hc,3,27,0,1,1
APHC010144892020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-05-14,2024-02-02,1359,1359.0,7.215239978730097,hc,5,14,3,1,0
APHC010144892020,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2020-05-14,2024-02-02,1359,1359.0,7.215239978730097,hc,5,14,3,1,0
APHC010125262024,"High Court, Andhra Pradesh",Andhra Pradesh,WP_C,Writ Petition (Civil),2024-03-11,2024-04-25,45,45.0,3.828641396489095,hc,3,11,0,0,0
