case_id,case_type,domain,sub_category,state,district,intensity_level,mediation_willingness,settlement_possibility,legal_complexity,time_to_resolve_days,financial_impact,number_of_parties,eligibility_score,mediation_eligible
CASE00001,Real Estate & RERA,Property Law,Lease-Residential,Haryana,Rohtak,Medium,9,3,8,256,6,6,55,Conditional
CASE00002,Bail Applications,Criminal Law,IPC-Assault,Assam,Tinsukia,Medium,5,9,3,45,2,2,36,No
CASE00003,Family Disputes,Family Law,Child Custody-Legal,West Bengal,Howrah,Medium,7,4,7,131,5,4,74,Yes
CASE00004,Civil Suits,Civil Law,Contract-Breach,Tamil Nadu,Erode,Low,7,3,9,93,8,2,72.1,Yes
CASE00005,Intellectual Property,Civil Law,Design,Delhi,Central Delhi,Low,1,10,3,134,5,2,70.2,Yes
CASE00006,Writ Petitions,Constitutional Law,Writ-Prohibition,Kerala,Kollam,High,2,10,6,370,3,4,0,No
CASE00007,Writ Petitions,Constitutional Law,Writ-Mandamus,Maharashtra,Nashik,Medium,9,7,4,257,2,4,34.65,No
CASE00008,Anti-Corruption & Vigilance,Criminal Law,IPC-Criminal Breach of Trust,Kerala,Kollam,Low,1,2,8,35,9,6,27.5,No
CASE00009,Insurance Claims,Consumer Law,Services-Insurance,Kerala,Kochi,High,3,6,3,328,10,3,36.3,No
CASE00010,Company / Insolvency (NCLT-NCLAT),Corporate Law,Oppression-Mismanagement,Kerala,Kollam,Medium,3,10,5,195,9,6,44,Conditional
CASE00011,Motor Accident Claims,Civil Law,Torts-Motor Accident,Punjab,Chandigarh,High,6,5,5,105,7,6,46,Conditional
CASE00012,Immigration & Passport Matters,Administrative Law,Licensing,Punjab,Ludhiana,Medium,2,1,6,294,3,5,45,Conditional
CASE00013,Company / Insolvency (NCLT-NCLAT),Corporate Law,Arbitration-Enforcement,Gujarat,Surat,Low,1,8,4,284,3,5,43,Conditional
CASE00014,Cyber Crime & IT Act,Criminal Law,Cyber Crime-Cyber Stalking,Maharashtra,Navi Mumbai,High,2,8,8,200,8,6,0,No
CASE00015,Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Madhya Pradesh,Indore,Low,7,3,5,224,6,6,64,Yes
CASE00016,Medical Negligence,Civil Law,Services-Health,Punjab,Bathinda,High,8,4,4,64,1,6,54,Conditional
CASE00017,Insurance Claims,Consumer Law,Services-Insurance,Maharashtra,Navi Mumbai,Low,7,4,6,163,8,2,88.2,Yes
