case_type,domain,sub_category,category,required_documents,optional_documents,time_validity,submission_deadline,format_requirements,number_of_copies,stamp_duty_required,notarization_required
NI Act / Cheque Bounce,Criminal Law,IPC-Cheating,Financial,"Cheque copy; Bank statement showing dishonor; Demand notice copy; Postal receipt of notice; Complaint affidavit; Power of Attorney","Financial records; Account statement; Transaction history",3 months from dishonor,30 days from notice receipt,"A4 size; Black ink; Clear photocopies",3,Yes,Yes
Civil Suits,Civil Law,Contract-Breach,Civil,"Plaint/Petition; Written Statement; Affidavit; Contract copy; Evidence documents; Witness list; Power of Attorney","Supporting affidavits; Legal notices; Court fee receipt",12 months,As per court notice,"A4 size; Bound with index; Numbered pages",3,Yes,Yes
Writ Petitions,Constitutional Law,Writ-Mandamus,Constitutional,"Writ petition; Affidavit; Supporting documents; Government orders; Constitutional provisions; Case law","Legal research; Precedents; Expert opinions",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations",5,No,Yes
Bail Applications,Criminal Law,IPC-Murder,Criminal,"Bail application; FIR copy; Charge sheet; Medical report; Affidavit; Surety documents; Address proof","Previous bail orders; Witness list; Property documents",Case pending,At time of arrest,"A4 size; Clear copies; Original documents",2,No,Yes
Motor Accident Claims,Civil Law,Torts-Motor Accident,Accident,"FIR copy; Medical reports; Discharge summary; Treatment bills; Disability certificate; Income proof; Driving license; Registration certificate; Insurance policy","Police report; Sketch; Witness statements; Photos",6 months from accident,At claim filing,"A4 size; Medical reports on letterhead; Bills original",3,Yes,Yes
Criminal Appeals,Criminal Law,IPC-Murder,Criminal,"Appeal petition; Grounds of appeal; Certified copy of judgment; Trial court records; Evidence copies; Affidavit","FIR copy; Witness statements; Expert reports",30 days from judgment,Within 30 days,"A4 size; Bound; Indexed; Section numbers",4,No,Yes
Family Disputes,Family Law,Divorce-Mutual Consent,Family,"Marriage certificate; Matrimonial petition; Affidavit; Income proof; Property documents; Child birth certificates; School records; Photographs","Communication records; Joint bank statements; Medical reports",12 months,At filing,"A4 size; Original marriage certificate; Photos",3,Yes,Yes
Property Disputes,Property Law,Land-Boundary,Property,"Sale deed; Title deed; Encumbrance certificate; Property tax receipts; Possession proof; Survey map; Boundary documents","Old tax receipts; Lease agreements; Utility bills; Photographs",12 years,At filing,"A3/A4 size; Revenue stamps; Clear photocopies",3,Yes,Yes
Consumer Protection,Consumer Law,Products-Electronic,Consumer,"Complaint petition; Invoice/Receipt; Warranty card; Evidence of defect; Expert report; Affidavit; Communication records","Product photos; Correspondence; Lawyer's notice",2 years from cause,At filing,"A4 size; Product photos; Original bills",3,Yes,Yes
Labour & Employment Disputes,Labour Law,Industrial-Layoff,Employment,"Appointment letter; Termination order; Payslips; Show cause notice; Charge sheet; Written statement; Demand notice","Attendance records; Performance reviews; Medical records",6 months from termination,At filing,"A4 size; Official correspondence; Appointment letter",3,Yes,No
Corporate & Commercial Law,Corporate Law,Director-Conflict,Corporate,"Board resolution; Shareholders agreement; Memorandum of Association; Articles of Association; Balance sheet; Profit loss; Affidavit","Minutes of meetings; Annual reports; Audit reports",3 years,At filing,"A4 size; Company seal; Certified copies",4,Yes,Yes
Banking & Debt Recovery,Corporate Law,Contract-Breach,Financial,"Loan agreement; Mortgage deed; Promissory note; Guarantee agreement; Default notice; Account statements; Recovery demand letter","Financial statements; Income proof; Tax returns",3 years from default,At filing,"A4 size; Original loan documents; Stamp paper",3,Yes,Yes
Intellectual Property,Civil Law,Trade Mark,IP,"Application form; Specimen/trademark/design; Power of Attorney; Claim details; Description; Drawings; Priority documents","Market research; User affidavits; Registration certificates",File at application,At filing,"A4 size; Drawings on separate sheets; CD/DVD",3,Yes,Yes
Tax Law (Direct & Indirect),Administrative Law,Taxation-Property,Tax,"Assessment order; Returns (ITR/GST); Demand notice; Appeal memo; Account books; Financial statements; Payment receipts","Audit reports; Tax payment challans; Correspondence",30 days from order,Within 30 days,"A4 size; Printed; Bound; Indexed",4,Yes,Yes
Cyber Crime & IT Act,Criminal Law,Cyber Crime-Hacking,Criminal,"FIR; Complaint; Electronic evidence; CD/DVD/Screenshots; Hard disk/device; Expert report; IP logs; Communication records; Affidavit","Server logs; Emails; Chat logs; Digital signatures",Immediate,At complaint filing,"Digital media; Printouts; Clear copies",3,No,Yes
Insurance Claims,Consumer Law,Services-Insurance,Consumer,"Insurance policy; Claim form; Medical reports; Discharge certificate; Medical bills; Income proof; FIR/Police report; Death certificate; Claim denial letter","Doctor's certificate; Test reports; Treatment records",12 months from incident,At filing,"A4 size; Original policy; Medical records",3,No,Yes
Environmental Law,Criminal Law,Environment-Pollution,Environmental,"Complaint; Expert report; Site inspection report; Photographs; Affidavit; NOC from PCB; Laboratory reports; Government orders","Environmental impact report; Public hearing records; Photos",6 months,At filing,"A4 size; Bound; Photos; Maps",4,No,Yes
Human Rights & PIL,Constitutional Law,PIL-Public Interest,Constitutional,"PIL petition; Affidavit; Supporting documents; Newspaper reports; Government reports; Expert reports; Communication; Public interest evidence","Photographs; Videos; Witness statements; Survey reports",No time limit,Immediate,"A4 size; Bound; Indexed; Media clippings",5,No,Yes
Arbitration & Mediation,Corporate Law,Arbitration-Enforcement,Commercial,"Arbitration agreement; Statement of claim; Statement of defense; Documents; Witness list; Evidence; Appointment notice; Award; Financial statements","All previous correspondence; Email exchanges; Expert reports",12 months,At filing,"A4 size; Numbered pages; Indexed; Original agreement",4,Yes,Yes
Real Estate & RERA,Property Law,Lease-Residential,Property,"RERA registration; Agreement for sale; Payment receipts; Completion certificate; Occupancy certificate; Building plan; NOC; Affidavit","Clearance certificates; Utility connections; Municipal tax receipts",File at registration,At filing,"A4 size; Plans on letterhead; Certified copies",3,Yes,Yes
Immigration & Passport Matters,Administrative Law,Licensing,Immigration,"Passport application; Visa application; Passport size photos; Travel itinerary; Hotel booking; Financial proof; Employment letter; Address proof","Ticket copies; Travel insurance; Police clearance; Medical reports",10 years/At application,At filing,"Recent photos; Format as per specifications",2,Yes,No
Medical Negligence,Civil Law,Torts-Medical Negligence,Civil/Tort,"Medical records; Treatment history; Prescription; Discharge summary; Medical bills; Expert report; FIR; Complaint; Affidavit","Photos; Witness statements; Medical board opinion",2 years from incident,At filing,"A4 size; Original medical records; Doctors notes",3,Yes,Yes
Constitutional Law,Constitutional Law,Fundamental Rights-Article 14,Constitutional,"Writ petition; Affidavit; Supporting documents; Government orders; Constitutional provisions; Case law; Annexures; Grounds","Legal research; Precedents; Expert opinions; Parliamentary records",No time limit,Immediate,"A4 size; Bound; Indexed; Legal citations",5,No,Yes
POCSO & Juvenile Justice,Criminal Law,IPC-Rape,Criminal,"FIR; Medical report; Statement under Section 164; Child's statement; Charge sheet; Medical examination; Victim impact statement; Counsel details","Psychology report; School records; Child protection plan",Immediate,Immediate,"Confidential; Sealed cover; Special formatting",2,No,Yes
Anti-Corruption & Vigilance,Criminal Law,IPC-Cheating,Criminal,"Complaint; FIR; Charge sheet; Sanction order; Trap report; Panchnama; Forensic report; Audio/video evidence; Asset records; Explanation","Income records; Property records; Bank statements; Witnesses",6 months,At filing,"A4 size; Sealed cover; Original documents",3,No,Yes
Company / Insolvency (NCLT-NCLAT),Corporate Law,Oppression-Mismanagement,Corporate,"Application; Balance sheet; Profit loss; Debt details; Security documents; Committee of Creditors report; Resolution plan; Affidavit; Audited accounts","Board resolution; Shareholder records; MCA records; Bank statements",1 year,At filing,"A4 size; Bound; Indexed; Original documents",4,Yes,Yes
